x;y;z;State_predicted
7.667032925;12.976016522;71.484027326;broken
8.941188988;16.91476833;67.356458408;broken
10.85484803;22.045661608;64.241594632;broken
13.540643289;28.775934905;62.562046259;broken
17.197113277;37.54847865;63.05655033;broken
22.081440966;48.720450421;66.954869904;broken
28.474803236;62.236671362;76.13298872;broken
36.577651586;76.91616573;92.95569392;broken
46.25889498;89.269723401;119.051152185;broken
56.581493801;92.606279031;152.080412312;broken
65.227442257;79.29979917;182.10525943;broken
68.604807916;48.970353333;195.384880198;broken
63.892538816;14.135461917;188.02134687;broken
51.95084036;-10.922897054;169.442790188;broken
36.861143381;-23.056542927;149.991937577;broken
22.480898667;-26.827278745;133.967728891;broken
10.646936088;-27.12096474;121.654763708;broken
1.582639889;-26.823659229;112.231590473;broken
-5.234871899;-27.269434787;104.993647701;broken
-10.523166992;-28.988076806;99.59449299;broken
-14.954745348;-32.154549182;96.005008938;broken
-19.082698268;-36.781718872;94.451790482;broken
-23.330463213;-42.749027266;95.37822699;broken
-27.990918586;-49.711942187;99.38851612;broken
-33.20396425;-56.914364153;107.085767017;broken
-38.894460227;-62.966631663;118.682454953;broken
-44.671781371;-65.792749292;133.333466147;broken
-49.740813672;-63.14407973;148.50460391;broken
-52.957597526;-53.951930602;160.273577164;broken
-53.196237464;-39.78565216;165.238059402;broken
-49.977696991;-24.578787348;162.727413792;broken
-43.881958677;-12.190901553;154.856785335;broken
-36.276104967;-4.29929783;144.541839598;broken
-28.601671254;-0.479909382;133.859191924;broken
-21.852448405;0.548231407;123.768530672;broken
-16.47628525;-0.01390561;114.528979951;broken
-12.525314137;-1.363624428;106.114121376;broken
-9.846508607;-3.07671137;98.433292567;broken
-8.22175727;-4.996820014;91.412267852;broken
-7.447772328;-7.136822246;85.012045937;broken
-7.373144309;-9.615378779;79.231644443;broken
-7.911280581;-12.625016903;74.114722066;broken
-9.042577299;-16.422111095;69.76880849;broken
-10.81366541;-21.328275178;66.404498776;broken
-13.337171754;-27.729727209;64.404985276;broken
-16.791385063;-36.050676434;64.438806027;broken
-21.413614992;-46.650870512;67.619085419;broken
-27.470556317;-59.547242064;75.656560641;broken
-35.168960896;-73.797779104;90.770667107;broken
-44.439877266;-86.443132747;114.725301641;broken
-54.520658581;-91.541550061;146.08639056;broken
-63.405672537;-81.634979603;176.587573005;broken
-67.780706232;-54.635499666;193.028229576;broken
-64.625856657;-20.578375323;189.254616172;broken
-54.054461137;6.074933834;172.496586633;broken
-39.623406344;20.131185027;153.235512501;broken
-25.282304415;25.07423082;136.722452875;broken
-13.196735958;25.794500234;123.790617391;broken
-3.838839272;25.458871086;113.765724512;broken
3.192611214;25.618756177;105.925542908;broken
8.574886005;26.928093753;99.863678378;broken
12.979655865;29.634267179;95.484331111;broken
16.97676258;33.813279368;92.947154515;broken
21.017526609;39.436566035;92.637972919;broken
25.438096071;46.317414644;95.146819023;broken
30.449132529;53.949682219;101.184291393;broken
36.089264454;61.260158357;111.315870079;broken
42.130278991;66.393333477;125.381642413;broken
47.953412068;66.866660251;141.671689214;broken
52.492591632;60.590427779;156.537925077;broken
54.436072307;47.677763933;165.612881643;broken
52.814078297;31.404424412;166.515885652;broken
47.675761365;16.462995632;160.361786333;broken
40.184697589;5.927702889;150.29372987;broken
31.963018861;0.179682;139.117743473;broken
24.335018014;-1.986159358;128.343619504;broken
18.017935445;-2.019800595;118.469488154;broken
13.208878795;-0.996543184;109.518460626;broken
9.79957752;0.460319384;101.377169717;broken
